cbs_code,description,cbs_level,phase,row_type,unit,qty,size_note,unit_cost_low,unit_cost_ml,unit_cost_high,total_low,total_ml,total_high,dur_low_days,dur_ml_days,dur_high_days,notes,sens_drivers,sens_rationale,inservice_year,gantt_index
C1.3.1,Quality Inspections & Handover,3,Phase 4,INPUT,Item,1.0,"Snagging, inspections, sign-off",20000.0,35000.0,60000.0,20000.0,35000.0,60000.0,15.0,25.0,40.0,"Building control, snagging survey, handover docs","LAB, REG",Inspector/surveyor rates; building control conditions,,65
C1.3.2,Commissioning MEP & Utilities,3,Phase 4,INPUT,Item,1.0,Commission all systems,18000.0,32000.0,55000.0,18000.0,32000.0,55000.0,10.0,20.0,35.0,"HVAC, solar, heating, water, septic, borehole commissioning","LAB, SPEC",Commissioning engineer rates; specialist system knowledge,,64
C1.4.1_2029,Property Maintenance Staff (Annual),3,Phase 5 (2029),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2029,0
C1.4.2_2029,Utilities & Running Costs (Annual),3,Phase 5 (2029),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2029,0
C1.4.3_2029,Farm & Animal Care (Annual),3,Phase 5 (2029),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2029,0
C1.4.1_2030,Property Maintenance Staff (Annual),3,Phase 5 (2030),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2030,0
C1.4.2_2030,Utilities & Running Costs (Annual),3,Phase 5 (2030),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2030,0
C1.4.3_2030,Farm & Animal Care (Annual),3,Phase 5 (2030),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2030,0
C1.4.1_2031,Property Maintenance Staff (Annual),3,Phase 5 (2031),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2031,0
C1.4.2_2031,Utilities & Running Costs (Annual),3,Phase 5 (2031),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2031,0
C1.4.3_2031,Farm & Animal Care (Annual),3,Phase 5 (2031),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2031,0
C1.4.1_2032,Property Maintenance Staff (Annual),3,Phase 5 (2032),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2032,0
C1.4.2_2032,Utilities & Running Costs (Annual),3,Phase 5 (2032),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2032,0
C1.4.3_2032,Farm & Animal Care (Annual),3,Phase 5 (2032),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2032,0
C1.4.1_2033,Property Maintenance Staff (Annual),3,Phase 5 (2033),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2033,0
C1.4.2_2033,Utilities & Running Costs (Annual),3,Phase 5 (2033),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2033,0
C1.4.3_2033,Farm & Animal Care (Annual),3,Phase 5 (2033),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2033,0
C1.4.1_2034,Property Maintenance Staff (Annual),3,Phase 5 (2034),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2034,0
C1.4.2_2034,Utilities & Running Costs (Annual),3,Phase 5 (2034),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2034,0
C1.4.3_2034,Farm & Animal Care (Annual),3,Phase 5 (2034),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2034,0
C1.4.1_2035,Property Maintenance Staff (Annual),3,Phase 5 (2035),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2035,0
C1.4.2_2035,Utilities & Running Costs (Annual),3,Phase 5 (2035),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2035,0
C1.4.3_2035,Farm & Animal Care (Annual),3,Phase 5 (2035),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2035,0
C1.4.1_2036,Property Maintenance Staff (Annual),3,Phase 5 (2036),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2036,0
C1.4.2_2036,Utilities & Running Costs (Annual),3,Phase 5 (2036),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2036,0
C1.4.3_2036,Farm & Animal Care (Annual),3,Phase 5 (2036),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2036,0
C1.4.1_2037,Property Maintenance Staff (Annual),3,Phase 5 (2037),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2037,0
C1.4.2_2037,Utilities & Running Costs (Annual),3,Phase 5 (2037),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2037,0
C1.4.3_2037,Farm & Animal Care (Annual),3,Phase 5 (2037),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2037,0
C1.4.1_2038,Property Maintenance Staff (Annual),3,Phase 5 (2038),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2038,0
C1.4.2_2038,Utilities & Running Costs (Annual),3,Phase 5 (2038),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2038,0
C1.4.3_2038,Farm & Animal Care (Annual),3,Phase 5 (2038),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2038,0
C1.4.1_2039,Property Maintenance Staff (Annual),3,Phase 5 (2039),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2039,0
C1.4.2_2039,Utilities & Running Costs (Annual),3,Phase 5 (2039),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2039,0
C1.4.3_2039,Farm & Animal Care (Annual),3,Phase 5 (2039),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2039,0
C1.4.1_2040,Property Maintenance Staff (Annual),3,Phase 5 (2040),INPUT,FTE,2.0,Housekeeper + groundskeeper,28000.0,38000.0,50000.0,56000.0,76000.0,100000.0,365.0,365.0,365.0,NLW + oncosts. 2x FTE.,LAB,"Staff wages — NLW increases, rural labour market",2040,0
C1.4.2_2040,Utilities & Running Costs (Annual),3,Phase 5 (2040),INPUT,Year,1.0,Annual utilities,18000.0,28000.0,45000.0,18000.0,28000.0,45000.0,365.0,365.0,365.0,"Electricity (offset solar), heating, water rates, broadband, insurance","ENERGY, REG",Energy tariffs — highly volatile; water rates; insurance,2040,0
C1.4.3_2040,Farm & Animal Care (Annual),3,Phase 5 (2040),INPUT,Year,1.0,Annual farm costs,15000.0,25000.0,42000.0,15000.0,25000.0,42000.0,365.0,365.0,365.0,"Feed (ducks, chickens, llamas, cows, quail), vet, farrier, bedding, supplies","MAT, FUEL, SPEC",Feed prices — agricultural commodity; vet/farrier costs,2040,0
